method,family,dim,bytes_per_embedding,compression,spearman
PCA-192 int8 dense,PCA int8 dense,192,192,8.0,0.8667041967569887
PCA-192 topm-4,PCA top-m int8,192,12,128.0,0.5691566466999213
PCA-192 topm-8,PCA top-m int8,192,24,64.0,0.6650869264136191
PCA-192 topm-12,PCA top-m int8,192,36,42.666666666666664,0.718524743962059
PCA-192 topm-16,PCA top-m int8,192,48,32.0,0.7540264298115351
PCA-192 topm-24,PCA top-m int8,192,72,21.333333333333332,0.7935324472438121
PCA-192 topm-32,PCA top-m int8,192,96,16.0,0.8166941933388884
PCA-192 topm-48,PCA top-m int8,192,144,10.666666666666666,0.8450319762654795
PCA-192 topm-64,PCA top-m int8,192,192,8.0,0.855964761528923
PCA-192 topm-96,PCA top-m int8,192,288,5.333333333333333,0.8629887290096898
PCA-192 topm-128,PCA top-m int8,192,384,4.0,0.8658587612394401
RandRot-192-s1 topm-4,Random rotation top-m int8,192,12,128.0,0.6431849587988688
RandRot-192-s1 topm-8,Random rotation top-m int8,192,24,64.0,0.7530681645186235
RandRot-192-s1 topm-12,Random rotation top-m int8,192,36,42.666666666666664,0.7904061130048775
RandRot-192-s1 topm-16,Random rotation top-m int8,192,48,32.0,0.8044096340316067
RandRot-192-s1 topm-24,Random rotation top-m int8,192,72,21.333333333333332,0.823658588396477
RandRot-192-s1 topm-32,Random rotation top-m int8,192,96,16.0,0.8389737320096378
RandRot-192-s1 topm-48,Random rotation top-m int8,192,144,10.666666666666666,0.8519586982660752
RandRot-192-s1 topm-64,Random rotation top-m int8,192,192,8.0,0.8561469805158842
RandRot-192-s1 topm-96,Random rotation top-m int8,192,288,5.333333333333333,0.8642835946719737
RandRot-192-s1 topm-128,Random rotation top-m int8,192,384,4.0,0.8656998892436796
RandRot-192-s2 topm-4,Random rotation top-m int8,192,12,128.0,0.6351539891622592
RandRot-192-s2 topm-8,Random rotation top-m int8,192,24,64.0,0.748309041682041
RandRot-192-s2 topm-12,Random rotation top-m int8,192,36,42.666666666666664,0.7805149270373035
RandRot-192-s2 topm-16,Random rotation top-m int8,192,48,32.0,0.809352652424635
RandRot-192-s2 topm-24,Random rotation top-m int8,192,72,21.333333333333332,0.8286097732428875
RandRot-192-s2 topm-32,Random rotation top-m int8,192,96,16.0,0.8359645929223226
RandRot-192-s2 topm-48,Random rotation top-m int8,192,144,10.666666666666666,0.8510226076292025
RandRot-192-s2 topm-64,Random rotation top-m int8,192,192,8.0,0.8564104166407448
RandRot-192-s2 topm-96,Random rotation top-m int8,192,288,5.333333333333333,0.8626643480029128
RandRot-192-s2 topm-128,Random rotation top-m int8,192,384,4.0,0.8655814834680166
RandRot-192-s3 topm-4,Random rotation top-m int8,192,12,128.0,0.6489479519628384
RandRot-192-s3 topm-8,Random rotation top-m int8,192,24,64.0,0.7481269990821687
RandRot-192-s3 topm-12,Random rotation top-m int8,192,36,42.666666666666664,0.7816549849047898
RandRot-192-s3 topm-16,Random rotation top-m int8,192,48,32.0,0.8042749885847744
RandRot-192-s3 topm-24,Random rotation top-m int8,192,72,21.333333333333332,0.8270271827689468
RandRot-192-s3 topm-32,Random rotation top-m int8,192,96,16.0,0.8409118009627784
RandRot-192-s3 topm-48,Random rotation top-m int8,192,144,10.666666666666666,0.8520097214329596
